Actor,Tense,Mode,Kovol word,English
1s,future,,ɛβɛginim,to hold
2s,future,,ɛβɛgeniŋ,to hold
3s,future,,ɛβɛgeriŋ,to hold
1p,future,,oβogorug,to hold
2p,future,,oβogolwa,to hold
3p,future,,oβogorond,to hold
2s,future,imperative,ɛβɛgere,to hold
2p,future,imperative,aβagalas,to hold
1s,recent past,,aβagagam,to hold
2s,recent past,,oβogogɔŋ,to hold
3s,recent past,,aβagaga,to hold
1p,recent past,,aβagaŋg,to hold
2p,recent past,,aβagagama,to hold
3p,recent past,,aβagagand,to hold
1s,remote past,,oβogolɔm,to hold
2s,remote past,,oβogolɔŋ,to hold
3s,remote past,,oβogolɔt,to hold
1p,remote past,,oβogolomuŋg,to hold
2p,remote past,,oβogolomwa,to hold
3p,remote past,,oβogolɛmind,to hold
1s,future,,osuguluminim,to revive a fire
2s,future,,osuguluminiŋ,to revive a fire
3s,future,,osugulumiŋ,to revive a fire
1p,future,,osugulumug,to revive a fire
2p,future,,osuguluwa,to revive a fire
3p,future,,osugulumis,to revive a fire
2s,future,imperative,osugulume,to revive a fire
2p,future,imperative,osugulumas,to revive a fire
1s,recent past,,osugulugum,to revive a fire
2s,recent past,,osugulugɔŋ,to revive a fire
3s,recent past,,osuguluge,to revive a fire
1p,recent past,,osugulumuŋg,to revive a fire
2p,recent past,,osuguluguma,to revive a fire
3p,recent past,,osugulugund,to revive a fire
1s,remote past,,osugulumum,to revive a fire
2s,remote past,,osugulumuŋ,to revive a fire
3s,remote past,,osugulumut,to revive a fire
1p,remote past,,osugulumomuŋg,to revive a fire
2p,remote past,,osugulumomwa,to revive a fire
3p,remote past,,osugulumɛmind,to revive a fire
1s,future,,ninim,to drink/eat
2s,future,,niniŋ,to drink/eat
3s,future,,niŋ,to drink/eat
1p,future,,nug,to drink/eat
2p,future,,nwa,to drink/eat
3p,future,,nis,to drink/eat
2s,future,imperative,ni,to drink/eat
2p,future,imperative,njas,to drink/eat
1s,recent past,,noŋgɔm,to drink/eat
2s,recent past,,noŋgɔŋ,to drink/eat
3s,recent past,,neŋge,to drink/eat
1p,recent past,,nomɔŋg,to drink/eat
2p,recent past,,naŋgama,to drink/eat
3p,recent past,,noŋgɔnd,to drink/eat
1s,remote past,,nomɔm,to drink/eat
2s,remote past,,nomɔŋ,to drink/eat
3s,remote past,,nomɔt,to drink/eat
1p,remote past,,nomomuŋg,to drink/eat
2p,remote past,,nomomwa,to drink/eat
3p,remote past,,nɛmɛmind,to drink/eat
1s,future,,lambiginim,to smoke
2s,future,,lambiginiŋ,to smoke
3s,future,,lambigiŋ,to smoke
1p,future,,lambigug,to smoke
2p,future,,lambigwa,to smoke
3p,future,,lambigis,to smoke
2s,future,imperative,lambigu,to smoke
2p,future,imperative,lambigas,to smoke
1s,recent past,,lambigɔm,to smoke
2s,recent past,,lambigɔŋ,to smoke
3s,recent past,,lambige,to smoke
1p,recent past,,lambigɔŋg,to smoke
2p,recent past,,lambigima,to smoke
3p,recent past,,lambigɔnd,to smoke
1s,remote past,,lambigɔm,to smoke
2s,remote past,,lambigɔŋ,to smoke
3s,remote past,,lambigɔt,to smoke
1p,remote past,,lambigomuŋg,to smoke
2p,remote past,,lambigomwa,to smoke
3p,remote past,,lambigɛmind,to smoke
1s,future,,ɛtinim,to cook
2s,future,,ɛtɛniŋ,to cook
3s,future,,ɛtiŋ,to cook
1p,future,,ɔtug,to cook
2p,future,,ata,to cook
3p,future,,ɛtis,to cook
2s,future,imperative,ɛtɛ,to cook
2p,future,imperative,atas,to cook
1s,recent past,,ɔtogɔm,to cook
2s,recent past,,ɔtogɔŋ,to cook
3s,recent past,,ɛtɛge,to cook
1p,recent past,,ɔtɔŋg,to cook
2p,recent past,,atagama,to cook
3p,recent past,,ɔtogɔnd,to cook
1s,remote past,,ɔtɔm,to cook
2s,remote past,,ɔtɔŋ,to cook
3s,remote past,,ɔtɔt,to cook
1p,remote past,,ɔtomuŋg,to cook
2p,remote past,,ɔtomwa,to cook
3p,remote past,,ɛtɛmind,to cook
1s,future,,ʔipundunim,to cut (grass)
2s,future,,ʔipundiniŋ,to cut (grass)
3s,future,,ʔipundiŋ,to cut (grass)
1p,future,,ʔipundug,to cut (grass)
2p,future,,ʔipundwa,to cut (grass)
3p,future,,ʔipundis,to cut (grass)
2s,future,imperative,ʔipunde,to cut (grass)
2p,future,imperative,ʔipundas,to cut (grass)
1s,recent past,,ʔipundugum,to cut (grass)
2s,recent past,,ʔipundugɔŋ,to cut (grass)
3s,recent past,,ʔipunduge,to cut (grass)
1p,recent past,,ʔipunduŋg,to cut (grass)
2p,recent past,,ʔipunduguma,to cut (grass)
3p,recent past,,ʔipundugund,to cut (grass)
1s,remote past,,ʔipundum,to cut (grass)
2s,remote past,,ʔipunduŋ,to cut (grass)
3s,remote past,,ʔipundut,to cut (grass)
1p,remote past,,ʔipundumuŋg,to cut (grass)
2p,remote past,,ʔipundumwa,to cut (grass)
3p,remote past,,ʔipundumind,to cut (grass)
1s,future,,ʔaluminim,to clean/remove
2s,future,,ʔaluminiŋ,to clean/remove
3s,future,,ʔalumiŋ,to clean/remove
1p,future,,ʔalumug,to clean/remove
2p,future,,ʔaluwa,to clean/remove
3p,future,,ʔalumis,to clean/remove
2s,future,imperative,ʔalume,to clean/remove
2p,future,imperative,ʔalumas,to clean/remove
1s,recent past,,ʔalugum,to clean/remove
2s,recent past,,ʔalugɔŋ,to clean/remove
3s,recent past,,ʔaluge,to clean/remove
1p,recent past,,ʔalumuŋg,to clean/remove
2p,recent past,,ʔaluguma,to clean/remove
3p,recent past,,ʔalugund,to clean/remove
1s,remote past,,ʔalumum,to clean/remove
2s,remote past,,ʔalumuŋ,to clean/remove
3s,remote past,,ʔalumut,to clean/remove
1p,remote past,,ʔalumomuŋg,to clean/remove
2p,remote past,,ʔalumomwa,to clean/remove
3p,remote past,,ʔalumɛmind,to clean/remove
1s,future,,ʔanatinim,to scrape
2s,future,,ʔanatiniŋ ig,to scrape
3s,future,,ʔanatiŋ,to scrape
1p,future,,ʔanatug,to scrape
2p,future,,ʔanatowa ig,to scrape
3p,future,,ʔanatis,to scrape
2s,future,imperative,ʔanate,to scrape
2p,future,imperative,ʔanatas,to scrape
1s,recent past,,ʔanatogɔm,to scrape
2s,recent past,,ʔanatogɔŋ,to scrape
3s,recent past,,ʔanatege,to scrape
1p,recent past,,ʔanatɔŋg,to scrape
2p,recent past,,ʔanatagama,to scrape
3p,recent past,,ʔanatogɔnd,to scrape
1s,remote past,,ʔanatɔm,to scrape
2s,remote past,,ʔanatɔŋ,to scrape
3s,remote past,,ʔanatɔt,to scrape
1p,remote past,,ʔanatomuŋg,to scrape
2p,remote past,,ʔanatomwa,to scrape
3p,remote past,,ʔanatɛmind,to scrape
1s,future,,salaʔanim,to chip/shave
2s,future,,salaʔaniŋ ig,to chip/shave
3s,future,,salaʔaⁱŋ,to chip/shave
1p,future,,salaʔaᵘg,to chip/shave
2p,future,,salaʔagwa ig,to chip/shave
3p,future,,salaʔaes,to chip/shave
2s,future,imperative,salaʔaᵘ,to chip/shave
2p,future,imperative,salaʔagwas,to chip/shave
1s,recent past,,salaʔagɔm,to chip/shave
2s,recent past,,salaʔagɔŋ,to chip/shave
3s,recent past,,salaʔage,to chip/shave
1p,recent past,,salaʔagɔŋg,to chip/shave
2p,recent past,,salaʔagama,to chip/shave
3p,recent past,,salaʔagɔnd,to chip/shave
1s,remote past,,salaʔaᵉm,to chip/shave
2s,remote past,,salaʔaᵉŋ,to chip/shave
3s,remote past,,salaʔaᵉt,to chip/shave
1p,remote past,,salaʔamuŋg,to chip/shave
2p,remote past,,salaʔaᵘmwa,to chip/shave
3p,remote past,,salaʔaᵋmind,to chip/shave
1s,future,,ilinim,to go up
2s,future,,iliniŋ ig,to go up
3s,future,,iliŋ,to go up
1p,future,,ilug,to go up
2p,future,,ilwa ig,to go up
3p,future,,ilis,to go up
2s,future,imperative,ilu,to go up
2p,future,imperative,ilwas,to go up
1s,recent past,,iligɔm,to go up
2s,recent past,,iligɔŋ,to go up
3s,recent past,,ilige,to go up
1p,recent past,,ilɔŋg,to go up
2p,recent past,,iligima,to go up
3p,recent past,,iligɔnd,to go up
1s,remote past,,ilam,to go up
2s,remote past,,ilaŋ,to go up
3s,remote past,,ilat,to go up
1p,remote past,,ilamuŋg,to go up
2p,remote past,,ilamwa,to go up
3p,remote past,,ilamind,to go up
1s,future,,janim,to go down
2s,future,,janiŋ,to go down
3s,future,,jaŋ,to go down
1p,future,,jug,to go down
2p,future,,jogwa,to go down
3p,future,,jis,to go down
2s,future,imperative,ju,to go down
2p,future,imperative,jogwas,to go down
1s,recent past,,jagam,to go down
2s,recent past,,jagɔŋ,to go down
3s,recent past,,jaga,to go down
1p,recent past,,jaŋg,to go down
2p,recent past,,jagama,to go down
3p,recent past,,jagand,to go down
1s,remote past,,jam,to go down
2s,remote past,,jaŋ,to go down
3s,remote past,,jat,to go down
1p,remote past,,jamuŋg,to go down
2p,remote past,,jamwa,to go down
3p,remote past,,jamind,to go down
1s,remote past,,tolumum,to cover
2s,remote past,,tolumuŋ,to cover
3s,remote past,,tolumɔt,to cover
1p,remote past,,tolumomuŋg,to cover
2p,remote past,,tolumomwa,to cover
3p,remote past,,tolumɛmind,to cover
1s,recent past,,tolugum,to cover
2s,recent past,,tolugɔŋ,to cover
3s,recent past,,toluge,to cover
1p,recent past,,tolumuŋg,to cover
2p,recent past,,toluguma,to cover
3p,recent past,,tolugund,to cover
1s,future,,toluminim,to cover
2s,future,imperative,tolume,to cover
3s,future,,tolumiŋ,to cover
1p,future,,tolumug,to cover
2p,future,imperative,tolumwa,to cover
3p,future,,tolumis,to cover
1s,remote past,,uβum,to plant
2s,remote past,,uβuŋ,to plant
3s,remote past,,uβut,to plant
1p,remote past,,uβumuŋg,to plant
2p,remote past,,uβumwa,to plant
3p,remote past,,uβumind,to plant
1s,recent past,,uβugum,to plant
2s,recent past,,uβugɔŋ,to plant
3s,recent past,,uβuge,to plant
1p,recent past,,uβuŋg,to plant
2p,recent past,,uβuguma,to plant
3p,recent past,,uβugund,to plant
1s,future,,uβinim,to plant
2s,future,imperative,uβe,to plant
3s,future,,uβiŋ,to plant
1p,future,,uβug,to plant
2p,future,imperative,uβas,to plant
3p,future,,uβis,to plant
1s,remote past,,migimɔm,to hear
2s,remote past,,migimɔŋ,to hear
3s,remote past,,migimɔt,to hear
1p,remote past,,migimomuŋg,to hear
2p,remote past,,migimomwa,to hear
3p,remote past,,migimɛmind,to hear
1s,recent past,,migiŋgɔm,to hear
2s,recent past,,migiŋgɔŋ,to hear
3s,recent past,,migiŋge,to hear
1p,recent past,,migimɔŋg,to hear
2p,recent past,,migiŋgima,to hear
3p,recent past,,migiŋgɔnd,to hear
1s,future,,migiminim,to hear
2s,future,imperative,migime,to hear
3s,future,,migimiŋ,to hear
1p,future,,migimug,to hear
2p,future,imperative,migimas,to hear
3p,future,,migimis,to hear
1s,remote past,,wɔndɔm,to hit or dig
2s,remote past,,wɔndɔŋ,to hit or dig
3s,remote past,,wɔndɔt,to hit or dig
1p,remote past,,wɔndomuŋg,to hit or dig
2p,remote past,,wɔondomwa,to hit or dig
3p,remote past,,wɔndɛmind,to hit or dig
1s,recent past,,wɔndogɔm,to hit or dig
2s,recent past,,wɔndogɔŋ,to hit or dig
3s,recent past,,wɔndige,to hit or dig
1p,recent past,,wɔndɔŋg,to hit or dig
2p,recent past,,wɔndagama,to hit or dig
3p,recent past,,wɔndogɔnd,to hit or dig
1s,future,,wɛndinim,to hit or dig
2s,future,imperative,wɛnde,to hit or dig
3s,future,,wɛndɪŋ,to hit or dig
1p,future,,wɛndug,to hit or dig
2p,future,imperative,wɛndas,to hit or dig
3p,future,,wɛndis,to hit or dig
1s,remote past,,tɔlɔm,to throw
2s,remote past,,tɔlɔŋ,to throw
3s,remote past,,tɔlɔt,to throw
1p,remote past,,tɔlomuŋg,to throw
2p,remote past,,tɔlomwa,to throw
3p,remote past,,tɛlɛmind,to throw
1s,recent past,,tagam,to throw
2s,recent past,,tagɔŋ,to throw
3s,recent past,,taga,to throw
1p,recent past,,taŋg,to throw
2p,recent past,,tagama,to throw
3p,recent past,,tagand,to throw
1s,future,,tɛnim,to throw
2s,future,imperative,tɛle,to throw
3s,future,,taŋ,to throw
1p,future,,tɔlug,to throw
2p,future,imperative,tɔlas,to throw
3p,future,,tɛlis,to throw
1s,remote past,,ʔiβaβigɔm,to turn (something)
2s,remote past,,ʔiβaβigɔŋ,to turn (something)
3s,remote past,,ʔiβaβigɔt,to turn (something)
1p,remote past,,ʔiβaβigomuŋg,to turn (something)
2p,remote past,,ʔiβaβigomwa,to turn (something)
3p,remote past,,ʔiβaβigɛmind,to turn (something)
1s,recent past,,ʔiβaβigɔm,to turn (something)
2s,recent past,,ʔiβaβigɔŋ,to turn (something)
3s,recent past,,ʔiβaβige,to turn (something)
1p,recent past,,ʔiβaβigɔŋg,to turn (something)
2p,recent past,,ʔiβaβiguma,to turn (something)
3p,recent past,,ʔiβaβigɔnd,to turn (something)
1s,future,,ʔiβaβiginim,to turn (something)
2s,future,imperative,ʔiβaβi,to turn (something)
3s,future,,ʔiβaβigiŋ,to turn (something)
1p,future,,ʔiβaβigug,to turn (something)
2p,future,imperative,ʔiβaβigas,to turn (something)
3p,future,,ʔiβaβigis,to turn (something)
1s,remote past,,salumum,to cut up and serve
2s,remote past,,salumuŋ,to cut up and serve
3s,remote past,,salumɔt,to cut up and serve
1p,remote past,,salumomuŋg,to cut up and serve
2p,remote past,,salumomwa,to cut up and serve
3p,remote past,,salumɛmind,to cut up and serve
1s,recent past,,salugum,to cut up and serve
2s,recent past,,salugɔŋ,to cut up and serve
3s,recent past,,saluge,to cut up and serve
1p,recent past,,salumuŋg,to cut up and serve
2p,recent past,,saluguma,to cut up and serve
3p,recent past,,salugund,to cut up and serve
1s,future,,saluminim,to cut up and serve
2s,future,imperative,salume,to cut up and serve
3s,future,,salumiŋ,to cut up and serve
1p,future,,salumug,to cut up and serve
2p,future,imperative,salumas,to cut up and serve
3p,future,,salumis,to cut up and serve
1s,remote past,,agamɔm,to be
2s,remote past,,agamɔŋ,to be
3s,remote past,,agamɔt,to be
1p,remote past,,agamomuŋg,to be
2p,remote past,,agamomwa,to be
3p,remote past,,agamɛmind,to be
1s,recent past,,igugum,to be
2s,recent past,,igɔŋ,to be
3s,recent past,,igu,to be
1p,recent past,,iguŋg,to be
2p,recent past,,iguguma,to be
3p,recent past,,igugund,to be
1s,future,,isinim,to be
2s,future,,isiŋiŋ,to be
3s,future,,igisiŋ,to be
1p,future,,igitug,to be
2p,future,,igitwa,to be
3p,future,,igisis,to be
1s,remote past,,pigɔm,to put
2s,remote past,,pigɔŋ,to put
3s,remote past,,pigɔt,to put
1p,remote past,,pigomuŋg,to put
2p,remote past,,pigomwa,to put
3p,remote past,,pigɛmind,to put
1s,recent past,,pigɔm,to put
2s,recent past,,pigɔŋ,to put
3s,recent past,,pige,to put
1p,recent past,,pigɔŋg,to put
2p,recent past,,pigima,to put
3p,recent past,,pigɔnd,to put
1s,future,,piginim,to put
2s,future,imperative,pigu,to put
3s,future,,pigiŋ,to put
1p,future,,pigug,to put
2p,future,imperative,pigas,to put
3p,future,,pigis,to put
2s,future,,piginiŋ ig,to put
2p,future,,pigwa ig,to put
1s,remote past,,ɔβɔm,to get
2s,remote past,,ɔβɔŋ,to get
3s,remote past,,ɔβɔt,to get
1p,remote past,,ɔβomuŋg,to get
2p,remote past,,ɔβomwa,to get
3p,remote past,,ɔβɛmind,to get
1s,recent past,,ɔβogɔm,to get
2s,recent past,,ɔβogɔŋ,to get
3s,recent past,,ɛβige,to get
1p,recent past,,ɔβɔŋg,to get
2p,recent past,,ɔβogama,to get
3p,recent past,,ɔβogɔnd,to get
1s,future,,ɛβinim,to get
2s,future,imperative,ɛβɛ,to get
3s,future,,ɛβiŋ,to get
1p,future,,ɔβug,to get
2p,future,imperative,aβas,to get
3p,future,,ɛβis,to get
2s,future,,ɛbɛniŋ ig,to get
2p,future,,aβwa ig,to get
1s,remote past,,ʔam,to see
2s,remote past,,ʔaŋ,to see
3s,remote past,,ʔat,to see
1p,remote past,,ʔamuŋg,to see
2p,remote past,,ʔamwa,to see
3p,remote past,,ʔamind,to see
1s,recent past,,ʔɔgɔm,to see
2s,recent past,,ʔɔgɔŋ,to see
3s,recent past,,ʔɛge,to see
1p,recent past,,ʔɔŋg,to see
2p,recent past,,ʔagama,to see
3p,recent past,,ʔɔgɔnd,to see
1s,future,,ʔɛnim,to see
2s,future,imperative,ʔeⁱ,to see
3s,future,,ʔɛŋ,to see
1p,future,,ʔog,to see
2p,future,imperative,ʔeas,to see
3p,future,,ʔes,to see
2s,future,,ʔɛniŋ ig,to see
2p,future,,ʔejo ig,to see
1s,remote past,,ɛm,to make (a bench)
2s,remote past,,ɛŋ,to make (a bench)
3s,remote past,,ɛt,to make (a bench)
1p,remote past,,amuŋg,to make (a bench)
2p,remote past,,amwa,to make (a bench)
3p,remote past,,ɛmind,to make (a bench)
1s,recent past,,ɛgɔm,to make (a bench)
2s,recent past,,ɔgɔŋ,to make (a bench)
3s,recent past,,ɛge,to make (a bench)
1p,recent past,,ɛŋg,to make (a bench)
2p,recent past,,ɛgama,to make (a bench)
3p,recent past,,ɛgɔnd,to make (a bench)
1s,future,,ɛnim,to make (a bench)
2s,future,imperative,oᵘ,to make (a bench)
3s,future,,ɛŋ,to make (a bench)
1p,future,,og,to make (a bench)
2p,future,imperative,ɛgwas,to make (a bench)
3p,future,,ɛⁱs,to make (a bench)
,recent past,short,ɔβɔβ,to get
,recent past,short,jaβ,to go down
,recent past,short,saluβ,to cut up and serve
,recent past,short,ogoβoroβ,to hold
s,recent past,short,ʔɛβ,to see
1s,remote past,,liβɔm,to come up
2s,remote past,,liβɔŋ,to come up
3s,remote past,,liβɔt,to come up
1p,remote past,,liβomuŋg,to come up
2p,remote past,,liβomwa,to come up
3p,remote past,,liβɛmind,to come up
1s,recent past,,liβigɔm,to come up
2s,recent past,,liβigɔŋ,to come up
3s,recent past,,liβige,to come up
1p,recent past,,liβɔŋg,to come up
2p,recent past,,liβigima,to come up
3p,recent past,,liβigɔnd,to come up
1s,future,,liβinim,to come up
2s,future,imperative,liβe,to come up
3s,future,,liβiŋ,to come up
1p,future,,liβug,to come up
2p,future,imperative,liβas,to come up
3p,future,,liβis,to come up
,recent past,short,liβ,to come up
2s,future,,liβiniŋ ig,to come up
2p,future,,liβiwa ig,to come up
1s,remote past,,saŋatɔm,to sharpen a stick
2s,remote past,,saŋatɔŋ,to sharpen a stick
3s,remote past,,saŋatɔt,to sharpen a stick
1p,remote past,,saŋatomuŋg,to sharpen a stick
2p,remote past,,saŋatomwa,to sharpen a stick
3p,remote past,,saŋatɛmind,to sharpen a stick
1s,recent past,,saŋatigɔm,to sharpen a stick
2s,recent past,,saŋatigɔŋ,to sharpen a stick
3s,recent past,,saŋatige,to sharpen a stick
1p,recent past,,saŋatɔŋg,to sharpen a stick
2p,recent past,,saŋatagama,to sharpen a stick
3p,recent past,,saŋatagɔnd,to sharpen a stick
1s,future,,saŋatinim,to sharpen a stick
2s,future,imperative,saŋate,to sharpen a stick
3s,future,,saŋatiŋ,to sharpen a stick
1p,future,,saŋatug,to sharpen a stick
2p,future,imperative,saŋatas,to sharpen a stick
3p,future,,saŋatis,to sharpen a stick
,recent past,short,saŋatoβ,to sharpen a stick
2s,future,,saŋatiniŋ ig,to sharpen a stick
2p,future,,saŋatwa ig,to sharpen a stick
1s,remote past,,amɔm,to talk
2s,remote past,,amɔŋ,to talk
3s,remote past,,amɔt,to talk
1p,remote past,,amomuŋg,to talk
2p,remote past,,amomwa,to talk
3p,remote past,,amɛmind,to talk
1s,recent past,,aŋgɔm,to talk
2s,recent past,,aŋgɔŋ,to talk
3s,recent past,,aŋge,to talk
1p,recent past,,amɔŋg,to talk
2p,recent past,,aŋgɔma,to talk
3p,recent past,,aŋgɔnd,to talk
1s,future,,aminim,to talk
2s,future,imperative,ame,to talk
3s,future,,amiŋ,to talk
1p,future,,amug,to talk
2p,future,imperative,amas,to talk
3p,future,,amis,to talk
2s,future,,aminiŋ ig,to talk
2p,future,,amwa ig,to talk
,recent past,short,amβ,to talk
1s,remote past,,loβɔm,to come down
2s,remote past,,loβɔŋ,to come down
3s,remote past,,loβɔt,to come down
1p,remote past,,loβomuŋg,to come down
2p,remote past,,loβomwa,to come down
3p,remote past,,lɛβɛmind,to come down
1s,recent past,,loβogɔm,to come down
2s,recent past,,loβogɔŋ,to come down
3s,recent past,,lɛβɛge,to come down
1p,recent past,,loβɔŋg,to come down
2p,recent past,,loβogɔma,to come down
3p,recent past,,loβogɔnd,to come down
1s,future,,lɛβinim,to come down
2s,future,imperative,lɛβe,to come down
3s,future,,lɛβiŋ,to come down
1p,future,,loβug,to come down
2p,future,imperative,laβas,to come down
3p,future,,lɛβis,to come down
2s,future,,lɛβɛniŋ ig,to come down
2p,future,,lɛβwa ig,to come down
,recent past,short,loβ,to come down
1s,future,,tɛβinim,to come from the side
2s,future,imperative,tɛβɛ,to come from the side
3s,future,,tɛβiŋ,to come from the side
1p,future,,tɔβug,to come from the side
2p,future,imperative,tɔβas,to come from the side
3p,future,,tɛβis,to come from the side
1s,recent past,,tɔβogɔm,to come from the side
2s,recent past,,tɔβogɔŋ,to come from the side
3s,recent past,,tɛβige,to come from the side
1p,recent past,,tɔβɔŋg,to come from the side
2p,recent past,,tɔβogɔma,to come from the side
3p,recent past,,tɔβogɔnd,to come from the side
1s,remote past,,tɔβɔm,to come from the side
2s,remote past,,tɔβɔŋ,to come from the side
3s,remote past,,tɔβɔt,to come from the side
1p,remote past,,tɔβomuŋg,to come from the side
2p,remote past,,tɔβomwa,to come from the side
3p,remote past,,tɛβɛmind,to come from the side
2s,remote past,,tɛβiniŋ ig,to come from the side
2p,remote past,,tɛβwa ig,to come from the side
,recent past,short,tɛβ,to come from the side
1s,remote past,,maŋatɔm,to remove skin/bark
2s,remote past,,maŋatɔŋ,to remove skin/bark
3s,remote past,,maŋatɔt,to remove skin/bark
1p,remote past,,maŋatomuŋg,to remove skin/bark
2p,remote past,,maŋatomwa,to remove skin/bark
3p,remote past,,maŋatɛmind,to remove skin/bark
1s,recent past,,maŋatogɔm,to remove skin/bark
2s,recent past,,maŋatogɔŋ,to remove skin/bark
3s,recent past,,maŋatoge,to remove skin/bark
1p,recent past,,maŋatɔŋg,to remove skin/bark
2p,recent past,,maŋatogɔma,to remove skin/bark
3p,recent past,,maŋatogɔnd,to remove skin/bark
1s,future,,maŋatinim,to remove skin/bark
2s,future,imperative,maŋate,to remove skin/bark
3s,future,,maŋatiŋ,to remove skin/bark
1p,future,,maŋatug,to remove skin/bark
2p,future,imperative,maŋatas,to remove skin/bark
3p,future,,maŋatis,to remove skin/bark
2s,future,,maŋatiniŋ ig,to remove skin/bark
2p,future,,maŋatowa ig,to remove skin/bark
,recent past,short,maŋataβ,to remove skin/bark
1s,remote past,,maŋaβigɔm,to remove
2s,remote past,,maŋaβigɔŋ,to remove
3s,remote past,,maŋaβigɔt,to remove
1p,remote past,,maŋaβigomuŋg,to remove
2p,remote past,,maŋaβigomwa,to remove
3p,remote past,,maŋaβigɛmind,to remove
1s,recent past,,maŋaβigɔm,to remove
2s,recent past,,maŋaβigɔŋ,to remove
3s,recent past,,maŋaβige,to remove
1p,recent past,,maŋaβigɔŋg,to remove
2p,recent past,,maŋaβigima,to remove
3p,recent past,,maŋaβigɔnd,to remove
1s,future,,maŋaβiginim,to remove
2s,future,imperative,maŋaβige,to remove
3s,future,,maŋaβigiŋ,to remove
1p,future,,maŋaβigug,to remove
2p,future,imperative,maŋaβigas,to remove
3p,future,,maŋaβigis,to remove
2s,future,,maŋaβiginiŋ ig,to remove
2p,future,,maŋaβigwa ig,to remove
,recent past,short,maŋaβ,to remove
